loc_prec,G16DPRS,G16RPRS,G16DHOR,G16RHOR,year,
"Essex,Cedar Grove 8 - Election Day",224,297,148,218,2016,
"Essex,Cedar Grove 9 - Election Day",252,316,158,255,2016,
"Essex,Cedar Grove Mail-In 11th Cong - M",224,243,158,248,2016,
"Essex,Cedar Grove Prov 11 Cong - Prov",30,46,20,31,2016,
"Essex,East Orange 1-1 - Election Day",392,12,337,8,2016,
"Essex,East Orange 1-10 - Election Day",416,11,334,6,2016,
"Essex,East Orange 1-11 - Election Day",520,11,439,10,2016,
"Essex,East Orange 1-2 - Election Day",452,14,393,7,2016,
"Essex,East Orange 1-3 - Election Day",374,12,295,13,2016,
"Essex,East Orange 1-4 - Election Day",324,5,285,4,2016,
"Essex,East Orange 1-5 - Election Day",569,12,450,13,2016,
"Essex,East Orange 1-6 - Election Day",457,26,407,17,2016,
"Essex,East Orange 1-7 - Election Day",512,12,411,7,2016,
"Essex,East Orange 1-9 - Election Day",638,10,557,8,2016,
"Essex,East Orange 2-1 - Election Day",491,19,400,10,2016,
"Essex,East Orange 2-10 - Election Day",408,6,315,4,2016,
"Essex,East Orange 2-11 - Election Day",444,13,361,6,2016,
"Essex,East Orange 2-12 - Election Day",307,12,281,9,2016,
"Essex,East Orange 2-2 - Election Day",464,17,385,14,2016,
"Essex,East Orange 2-3 - Election Day",460,9,352,6,2016,
"Essex,East Orange 2-4 - Election Day",415,10,339,12,2016,
"Essex,East Orange 2-7 - Election Day",619,11,518,8,2016,
"Essex,East Orange 3-1 - Election Day",389,2,319,4,2016,
"Essex,East Orange 3-10 - Election Day",367,21,299,11,2016,
"Essex,East Orange 3-11 - Election Day",559,9,493,6,2016,
"Essex,East Orange 3-12 - Election Day",473,5,403,6,2016,
"Essex,East Orange 3-14 - Election Day",529,14,462,12,2016,
"Essex,East Orange 3-2 - Election Day",401,5,343,5,2016,
"Essex,East Orange 3-3 - Election Day",291,13,250,11,2016,
"Essex,East Orange 3-4 - Election Day",409,4,308,6,2016,
"Essex,East Orange 3-5 - Election Day",362,6,311,3,2016,
"Essex,East Orange 3-6 - Election Day",345,14,284,7,2016,
"Essex,East Orange 3-9 - Election Day",559,15,458,14,2016,
"Essex,East Orange 4-1 - Election Day",513,12,368,9,2016,
"Essex,East Orange 4-10 - Election Day",563,19,407,10,2016,
"Essex,East Orange 4-13 - Election Day",493,11,423,8,2016,
"Essex,East Orange 4-2 - Election Day",247,4,185,4,2016,
"Essex,East Orange 4-4 - Election Day",546,14,431,9,2016,
"Essex,East Orange 4-5 - Election Day",314,6,250,3,2016,
"Essex,East Orange 4-6 - Election Day",402,6,288,7,2016,
"Essex,East Orange 4-7 - Election Day",413,14,344,7,2016,
"Essex,East Orange 5-1 - Election Day",390,4,278,3,2016,
"Essex,East Orange 5-10 - Election Day",320,4,266,2,2016,
"Essex,East Orange 5-12 - Election Day",314,8,284,5,2016,
"Essex,East Orange 5-13 - Election Day",507,25,444,18,2016,
"Essex,East Orange 5-3 - Election Day",613,29,516,22,2016,
"Essex,East Orange 5-4 - Election Day",225,4,148,1,2016,
"Essex,East Orange 5-5 - Election Day",416,19,353,10,2016,
"Essex,East Orange 5-6 - Election Day",503,12,422,7,2016,
"Essex,East Orange 5-7 - Election Day",313,9,280,6,2016,
"Essex,East Orange 5-8 - Election Day",443,8,378,8,2016,
"Essex,East Orange 5-9 - Election Day",333,6,270,5,2016,
"Essex,East Orange Mail-In 10th Cong - M",633,34,603,29,2016,
"Essex,East Orange Prov 10th Cong - Pro",1095,16,892,17,2016,
"Essex,Essex Fells 1 - Election Day",152,279,83,310,2016,
"Essex,Essex Fells 2 - Election Day",313,372,192,414,2016,
"Essex,Essex Fells Mail-In 11th Cong - M",38,56,29,65,2016,
"Essex,Essex Fells Prov 11th Cong - Prov",4,9,2,10,2016,
"Essex,Fairfield 1 - Election Day",125,483,80,389,2016,
"Essex,Fairfield 2 - Election Day",289,580,193,506,2016,
"Essex,Fairfield 3 - Election Day",191,720,110,575,2016,
"Essex,Fairfield 4 - Election Day",198,525,133,420,2016,
"Essex,Fairfield 5 - Election Day",104,373,77,285,2016,
"Essex,Fairfield Mail-In 11th Cong - Mail-I",87,146,67,154,2016,
"Essex,Fairfield Prov 11th Cong - Provisio",15,31,11,28,2016,
"Essex,Glen Ridge 1 - Election Day",388,101,309,128,2016,
"Essex,Glen Ridge 2 - Election Day",545,182,433,200,2016,
"Essex,Glen Ridge 3 - Election Day",346,86,284,97,2016,
"Essex,Glen Ridge 4 - Election Day",387,206,304,212,2016,
"Essex,Glen Ridge 5 - Election Day",305,71,227,82,2016,
"Essex,Glen Ridge 7 - Election Day",450,123,373,123,2016,
"Essex,Glen Ridge 8 - Election Day",303,145,225,162,2016,
"Essex,Glen Ridge Mail-In 10th Cong - Ma",247,49,221,61,2016,
"Essex,Glen Ridge Prov 10th Cong - Prov",59,14,48,15,2016,
"Essex,Irvington E-1 - Election Day",486,16,398,11,2016,
"Essex,Irvington E-10 - Election Day",302,7,256,10,2016,
"Essex,Irvington E-2 - Election Day",465,20,390,14,2016,
"Essex,Irvington E-3 - Election Day",402,8,373,8,2016,
"Essex,Irvington E-4 - Election Day",625,13,547,7,2016,
"Essex,Irvington E-5 - Election Day",442,13,336,8,2016,
"Essex,Irvington E-8 - Election Day",500,14,448,11,2016,
"Essex,Irvington E-9 - Election Day",366,4,321,2,2016,
"Essex,Irvington Mail-In 10th Cong - Mail-",386,22,358,17,2016,
"Essex,Irvington N-1 - Election Day",391,18,362,16,2016,
"Essex,Irvington N-2 - Election Day",528,19,451,13,2016,
"Essex,Irvington N-3 - Election Day",476,17,391,11,2016,
"Essex,Irvington N-4 - Election Day",398,11,365,7,2016,
"Essex,Irvington N-5 - Election Day",508,16,431,11,2016,
"Essex,Irvington N-6 - Election Day",680,25,550,17,2016,
"Essex,Irvington N-7 - Election Day",487,8,446,4,2016,
"Essex,Irvington N-8 - Election Day",382,7,331,5,2016,
"Essex,Irvington N-9 - Election Day",308,5,243,2,2016,
"Essex,Irvington Prov 10th Cong - Provisio",841,17,717,19,2016,
"Essex,Irvington S-1 - Election Day",637,24,532,13,2016,
"Essex,Irvington S-10 - Election Day",442,20,389,15,2016,
"Essex,Irvington S-11 - Election Day",364,6,319,7,2016,
"Essex,Irvington S-2 - Election Day",300,10,260,8,2016,
"Essex,Irvington S-3 - Election Day",661,19,548,12,2016,
"Essex,Irvington S-5 - Election Day",240,6,203,2,2016,
"Essex,Irvington S-7 - Election Day",534,26,412,19,2016,
"Essex,Irvington S-8 - Election Day",646,19,590,10,2016,
"Essex,Irvington S-9 - Election Day",315,15,284,8,2016,
"Essex,Irvington W-1 - Election Day",583,24,496,15,2016,
"Essex,Irvington W-2 - Election Day",449,21,358,11,2016,
"Essex,Irvington W-3 - Election Day",372,28,260,19,2016,
"Essex,Irvington W-4 - Election Day",351,17,286,14,2016,
"Essex,Irvington W-6 - Election Day",319,19,276,10,2016,
"Essex,Irvington W-7 - Election Day",417,19,353,10,2016,
"Essex,Irvington W-8 - Election Day",650,27,580,17,2016,
"Essex,Irvington W-9 - Election Day",518,19,459,14,2016,
"Essex,Livingston 1 - Election Day",292,188,173,191,2016,
"Essex,Livingston 10 - Election Day",428,320,277,317,2016,
"Essex,Livingston 11 - Election Day",339,222,200,216,2016,
"Essex,Livingston 12 - Election Day",352,228,202,288,2016,
"Essex,Livingston 13 - Election Day",305,180,215,175,2016,
"Essex,Livingston 14 - Election Day",323,289,227,260,2016,
"Essex,Livingston 15 - Election Day",269,210,189,195,2016,
"Essex,Livingston 16 - Election Day",236,150,137,184,2016,
"Essex,Livingston 17 - Election Day",274,155,199,141,2016,
"Essex,Livingston 18 - Election Day",299,182,173,228,2016,
"Essex,Livingston 19 - Election Day",375,270,226,297,2016,
"Essex,Livingston 2 - Election Day",338,221,218,261,2016,
"Essex,Livingston 20 - Election Day",310,147,176,179,2016,
"Essex,Livingston 21 - Election Day",329,125,217,162,2016,
"Essex,Livingston 22 - Election Day",319,149,217,182,2016,
"Essex,Livingston 23 - Election Day",194,138,132,132,2016,
"Essex,Livingston 24 - Election Day",198,132,116,176,2016,
"Essex,Livingston 25 - Election Day",325,181,207,220,2016,
"Essex,Livingston 26 - Election Day",299,170,198,202,2016,
"Essex,Livingston 3 - Election Day",351,271,245,285,2016,
"Essex,Livingston 4 - Election Day",249,200,169,196,2016,
"Essex,Livingston 5 - Election Day",424,284,274,316,2016,
"Essex,Livingston 6 - Election Day",287,213,206,207,2016,
"Essex,Livingston 7 - Election Day",289,142,200,159,2016,
"Essex,Livingston 8 - Election Day",320,172,203,208,2016,
"Essex,Livingston 9 - Election Day",234,140,166,149,2016,
"Essex,Livingston Mail-In 11th Cong - Ma",985,346,743,527,2016,
"Essex,Livingston Prov 11th Cong - Provis",109,50,65,51,2016,
"Essex,Maplewood 1 - Election Day",420,66,355,86,2016,
"Essex,Maplewood 10 - Election Day",486,72,402,61,2016,
"Essex,Maplewood 11 - Election Day",835,75,700,73,2016,
"Essex,Maplewood 12 - Election Day",445,47,382,46,2016,
"Essex,Maplewood 13 - Election Day",524,53,422,45,2016,
"Essex,Maplewood 14 - Election Day",404,26,338,24,2016,
"Essex,Maplewood 15 - Election Day",419,44,358,55,2016,
"Essex,Maplewood 16 - Election Day",466,40,390,54,2016,
"Essex,Maplewood 17 - Election Day",484,68,396,83,2016,
"Essex,Maplewood 19 - Election Day",381,52,329,55,2016,
"Essex,Maplewood 2 - Election Day",654,77,550,92,2016,
"Essex,Maplewood 20 - Election Day",379,46,319,61,2016,
"Essex,Maplewood 21 - Election Day",664,45,570,33,2016,
"Essex,Maplewood 22 - Election Day",531,50,449,40,2016,
"Essex,Maplewood 3 - Election Day",608,54,526,67,2016,
"Essex,Maplewood 4 - Election Day",485,47,431,41,2016,
"Essex,Maplewood 5 - Election Day",440,49,396,51,2016,
"Essex,Maplewood 6 - Election Day",456,55,374,62,2016,
"Essex,Maplewood 7 - Election Day",481,76,412,97,2016,
"Essex,Maplewood 8 - Election Day",435,61,360,88,2016,
"Essex,Maplewood 9 - Election Day",383,58,331,51,2016,
"Essex,Maplewood Mail-In 10th Cong - M",873,69,780,98,2016,
"Essex,Maplewood Prov 10th Cong - Prov",190,18,154,22,2016,
"Essex,Millburn 1 - Election Day",379,203,272,204,2016,
"Essex,Millburn 10 - Election Day",337,100,296,98,2016,
"Essex,Millburn 11 - Election Day",327,163,202,245,2016,
"Essex,Millburn 12 - Election Day",425,225,305,293,2016,
"Essex,Millburn 13 - Election Day",387,213,264,307,2016,
"Essex,Millburn 14 - Election Day",289,141,191,199,2016,
"Essex,Millburn 15 - Election Day",316,112,231,177,2016,
"Essex,Millburn 16 - Election Day",399,204,249,276,2016,
"Essex,Millburn 2 - Election Day",471,137,382,165,2016,
"Essex,Millburn 3 - Election Day",353,182,249,254,2016,
"Essex,Millburn 4 - Election Day",400,156,283,233,2016,
"Essex,Millburn 5 - Election Day",240,121,150,175,2016,
"Essex,Millburn 6 - Election Day",387,148,320,151,2016,
"Essex,Millburn 7 - Election Day",513,130,411,191,2016,
"Essex,Millburn 8 - Election Day",309,143,222,207,2016,
"Essex,Millburn 9 - Election Day",282,160,229,180,2016,
"Essex,Millburn Mail-In 7th Cong - Mail-In",818,200,628,356,2016,
"Essex,Millburn Prov 7th Cong - Provision",87,30,61,46,2016,
"Essex,Montclair 1-1 - Election Day",391,73,328,83,2016,
"Essex,Montclair 1-2 - Election Day",406,65,335,80,2016,
"Essex,Montclair 1-3 - Election Day",482,93,367,128,2016,
"Essex,Montclair 1-4 - Election Day",564,105,438,143,2016,
"Essex,Montclair 1-5 - Election Day",466,81,361,112,2016,
"Essex,Montclair 1-6 - Election Day",325,52,250,79,2016,
"Essex,Montclair 1-7 - Election Day",365,88,280,118,2016,
"Essex,Montclair 1-8 - Election Day",377,76,291,120,2016,
"Essex,Montclair 1-9 - Election Day",482,67,382,88,2016,
"Essex,Montclair 2-1 - Election Day",437,78,368,86,2016,
"Essex,Montclair 2-10 - Election Day",539,82,454,81,2016,
"Essex,Montclair 2-2 - Election Day",428,35,364,42,2016,
"Essex,Montclair 2-3 - Election Day",402,44,335,53,2016,
"Essex,Montclair 2-4 - Election Day",358,25,304,36,2016,
"Essex,Montclair 2-5 - Election Day",339,46,274,47,2016,
"Essex,Montclair 2-6 - Election Day",505,61,426,63,2016,
"Essex,Montclair 2-7 - Election Day",330,44,276,41,2016,
"Essex,Montclair 2-8 - Election Day",534,49,424,92,2016,
"Essex,Montclair 2-9 - Election Day",509,107,417,118,2016,
"Essex,Montclair 3-1 - Election Day",470,80,389,79,2016,
"Essex,Montclair 3-2 - Election Day",449,69,370,67,2016,
"Essex,Montclair 3-3 - Election Day",440,42,367,37,2016,
"Essex,Montclair 3-4 - Election Day",347,57,278,64,2016,
"Essex,Montclair 3-5 - Election Day",467,52,383,50,2016,
"Essex,Montclair 3-6 - Election Day",665,58,554,61,2016,
"Essex,Montclair 3-7 - Election Day",373,84,288,118,2016,
"Essex,Montclair 3-8 - Election Day",447,101,385,95,2016,
"Essex,Montclair 4-1 - Election Day",508,89,439,75,2016,
"Essex,Montclair 4-2 - Election Day",520,15,439,15,2016,
"Essex,Montclair 4-3 - Election Day",453,18,399,17,2016,
"Essex,Montclair 4-4 - Election Day",582,29,472,29,2016,
"Essex,Montclair 4-5 - Election Day",572,63,472,59,2016,
"Essex,Montclair 4-6 - Election Day",623,31,538,25,2016,
"Essex,Montclair 4-7 - Election Day",673,30,552,23,2016,
"Essex,Montclair 4-8 - Election Day",377,42,309,26,2016,
"Essex,Montclair Mail-In 10th Cong - Mail-",882,78,795,105,2016,
"Essex,Montclair Mail-In 11th Cong - Mail-",562,62,481,105,2016,
"Essex,Montclair Prov 10th Cong - Provis",293,34,251,39,2016,
"Essex,Montclair Prov 11th Cong - Provis",106,13,83,18,2016,
"Essex,Newark C-1 - Election Day",622,26,533,15,2016,
"Essex,Newark C-12 - Election Day",444,8,393,8,2016,
"Essex,Newark C-15 - Election Day",531,20,431,23,2016,
"Essex,Newark C-17 - Election Day",602,18,480,15,2016,
"Essex,Newark C-20 - Election Day",476,10,456,9,2016,
"Essex,Newark C-22 - Election Day",780,12,661,4,2016,
"Essex,Newark C-23 - Election Day",1103,26,863,18,2016,
"Essex,Newark C-28 - Election Day",466,7,354,4,2016,
"Essex,Newark C-29 - Election Day",319,10,240,7,2016,
"Essex,Newark C-3 - Election Day",271,18,239,14,2016,
"Essex,Newark C-32 - Election Day",607,32,483,27,2016,
"Essex,Newark C-34 - Election Day",672,49,446,26,2016,
"Essex,Newark C-35 - Election Day",406,33,310,18,2016,
"Essex,Newark C-37 - Election Day",232,28,171,19,2016,
"Essex,Newark C-38 - Election Day",834,31,637,20,2016,
"Essex,Newark C-39 - Election Day",560,22,417,17,2016,
"Essex,Newark C-4 - Election Day",359,4,313,3,2016,
"Essex,Newark C-40 - Election Day",895,23,772,14,2016,
"Essex,Newark C-41 - Election Day",410,9,346,8,2016,
"Essex,Newark C-42 - Election Day",462,12,367,9,2016,
"Essex,Newark C-43 - Election Day",208,18,146,16,2016,
"Essex,Newark C-44 - Election Day",208,15,184,13,2016,
"Essex,Newark C-45 - Election Day",270,10,187,11,2016,
"Essex,Newark C-46 - Election Day",228,22,189,15,2016,
"Essex,Newark C-47 - Election Day",337,30,271,13,2016,
"Essex,Newark C-49 - Election Day",244,22,201,15,2016,
"Essex,Newark C-5 - Election Day",318,7,262,1,2016,
"Essex,Newark C-6 - Election Day",538,8,450,3,2016,
"Essex,Newark C-7 - Election Day",459,12,400,7,2016,
"Essex,Newark C-9 - Election Day",717,13,582,9,2016,
"Essex,Newark E-1 - Election Day",246,107,197,55,2016,
"Essex,Newark E-10 - Election Day",220,75,156,45,2016,
"Essex,Newark E-11 - Election Day",193,74,154,41,2016,
"Essex,Newark E-12 - Election Day",381,53,236,31,2016,
"Essex,Newark E-13 - Election Day",427,69,286,30,2016,
"Essex,Newark E-14 - Election Day",185,80,148,47,2016,
"Essex,Newark E-15 - Election Day",193,58,141,34,2016,
"Essex,Newark E-16 - Election Day",262,112,199,64,2016,
"Essex,Newark E-17 - Election Day",158,62,134,38,2016,
"Essex,Newark E-18 - Election Day",256,85,209,47,2016,
"Essex,Newark E-19 - Election Day",191,74,113,39,2016,
"Essex,Newark E-2 - Election Day",401,132,289,81,2016,
"Essex,Newark E-20 - Election Day",208,57,168,38,2016,
"Essex,Newark E-21 - Election Day",239,60,188,40,2016,
"Essex,Newark E-25 - Election Day",103,8,85,9,2016,
"Essex,Newark E-29 - Election Day",375,25,291,16,2016,
"Essex,Newark E-3 - Election Day",372,155,253,100,2016,
"Essex,Newark E-30 - Election Day",451,33,320,22,2016,
"Essex,Newark E-4 - Election Day",556,86,441,45,2016,
"Essex,Newark E-6 - Election Day",310,27,281,23,2016,
"Essex,Newark E-7 - Election Day",362,36,298,20,2016,
"Essex,Newark E-8 - Election Day",268,111,179,60,2016,
"Essex,Newark E-9 - Election Day",309,130,215,68,2016,
"Essex,Newark Mail-In 10th Cong - Mail-In",510,19,479,13,2016,
"Essex,Newark Mail-In 10th Cong 29th LD",571,30,541,32,2016,
"Essex,Newark Mail-In 8th Cong - Mail-In",63,5,52,4,2016,
"Essex,Newark Mail-In 8th Cong 29th LD",424,107,397,64,2016,
"Essex,Newark N-1 - Election Day",508,108,354,64,2016,
"Essex,Newark N-10 - Election Day",399,71,311,40,2016,
"Essex,Newark N-11 - Election Day",425,48,290,33,2016,
"Essex,Newark N-12 - Election Day",531,16,420,14,2016,
"Essex,Newark N-13 - Election Day",252,26,202,15,2016,
"Essex,Newark N-14 - Election Day",570,82,419,53,2016,
"Essex,Newark N-15 - Election Day",533,38,403,25,2016,
"Essex,Newark N-16 - Election Day",531,58,347,33,2016,
"Essex,Newark N-17 - Election Day",511,153,399,91,2016,
"Essex,Newark N-18 - Election Day",558,66,447,32,2016,
"Essex,Newark N-19 - Election Day",381,51,309,38,2016,
"Essex,Newark N-2 - Election Day",294,47,195,26,2016,
"Essex,Newark N-20 - Election Day",312,41,231,18,2016,
"Essex,Newark N-21 - Election Day",295,37,193,19,2016,
"Essex,Newark N-22 - Election Day",343,51,242,30,2016,
"Essex,Newark N-23 - Election Day",400,35,333,22,2016,
"Essex,Newark N-25 - Election Day",362,12,276,9,2016,
"Essex,Newark N-26 - Election Day",333,56,230,33,2016,
"Essex,Newark N-27 - Election Day",396,82,280,39,2016,
"Essex,Newark N-28 - Election Day",469,71,369,39,2016,
"Essex,Newark N-29 - Election Day",478,63,332,45,2016,
"Essex,Newark N-3 - Election Day",432,66,281,38,2016,
"Essex,Newark N-37 - Election Day",330,42,266,28,2016,
"Essex,Newark N-38 - Election Day",307,23,232,16,2016,
"Essex,Newark N-4 - Election Day",298,13,174,5,2016,
"Essex,Newark N-48 - Election Day",356,42,286,28,2016,
"Essex,Newark N-49 - Election Day",344,32,267,14,2016,
"Essex,Newark N-5 - Election Day",581,75,446,46,2016,
"Essex,Newark N-6 - Election Day",449,33,365,20,2016,
"Essex,Newark N-7 - Election Day",815,155,599,95,2016,
"Essex,Newark N-8 - Election Day",537,115,427,62,2016,
"Essex,Newark N-9 - Election Day",390,49,309,33,2016,
"Essex,Newark Prov 10th Cong - Provisio",1256,24,1078,22,2016,
"Essex,Newark Prov 10th Cong 29 LD - P",1339,25,1125,27,2016,
"Essex,Newark Prov 8th Cong - Provision",185,15,147,5,2016,
"Essex,Newark Prov 8th Cong 29 LD - Pro",1026,96,778,57,2016,
"Essex,Newark S-1 - Election Day",304,1,258,0,2016,
"Essex,Newark S-10 - Election Day",565,7,480,4,2016,
"Essex,Newark S-11 - Election Day",285,4,224,4,2016,
"Essex,Newark S-12 - Election Day",293,2,223,1,2016,
"Essex,Newark S-13 - Election Day",239,7,168,4,2016,
"Essex,Newark S-15 - Election Day",629,10,531,9,2016,
"Essex,Newark S-16 - Election Day",465,12,344,8,2016,
"Essex,Newark S-17 - Election Day",321,7,261,5,2016,
"Essex,Newark S-18 - Election Day",336,2,252,2,2016,
"Essex,Newark S-19 - Election Day",383,5,320,5,2016,
"Essex,Newark S-2 - Election Day",340,6,237,5,2016,
"Essex,Newark S-20 - Election Day",467,5,373,2,2016,
"Essex,Newark S-21 - Election Day",336,2,265,1,2016,
"Essex,Newark S-22 - Election Day",508,16,439,8,2016,
"Essex,Newark S-23 - Election Day",420,6,358,3,2016,
"Essex,Newark S-24 - Election Day",351,6,303,3,2016,
"Essex,Newark S-25 - Election Day",437,6,318,5,2016,
"Essex,Newark S-27 - Election Day",324,1,281,1,2016,
"Essex,Newark S-28 - Election Day",365,6,273,6,2016,
"Essex,Newark S-29 - Election Day",396,2,340,1,2016,
"Essex,Newark S-3 - Election Day",758,16,640,10,2016,
"Essex,Newark S-30 - Election Day",471,3,428,2,2016,
"Essex,Newark S-32 - Election Day",404,4,368,4,2016,
"Essex,Newark S-34 - Election Day",386,11,337,5,2016,
"Essex,Newark S-35 - Election Day",313,1,272,2,2016,
"Essex,Newark S-36 - Election Day",520,10,433,7,2016,
"Essex,Newark S-37 - Election Day",348,2,292,1,2016,
"Essex,Newark S-38 - Election Day",421,5,345,3,2016,
"Essex,Newark S-39 - Election Day",542,13,452,11,2016,
"Essex,Newark S-4 - Election Day",698,18,538,15,2016,
"Essex,Newark S-40 - Election Day",426,2,356,3,2016,
"Essex,Newark S-41 - Election Day",432,8,368,5,2016,
"Essex,Newark S-42 - Election Day",495,2,433,1,2016,
"Essex,Newark S-44 - Election Day",470,8,380,5,2016,
"Essex,Newark S-45 - Election Day",430,7,351,7,2016,
"Essex,Newark S-46 - Election Day",568,9,476,6,2016,
"Essex,Newark S-47 - Election Day",453,12,383,10,2016,
"Essex,Newark S-48 - Election Day",406,16,353,10,2016,
"Essex,Newark S-49 - Election Day",533,20,420,11,2016,
"Essex,Newark S-8 - Election Day",336,12,244,9,2016,
"Essex,Newark W-10 - Election Day",328,13,222,9,2016,
"Essex,Newark W-13 - Election Day",444,16,379,7,2016,
"Essex,Newark W-15 - Election Day",364,11,280,5,2016,
"Essex,Newark W-17 - Election Day",510,16,426,12,2016,
"Essex,Newark W-19 - Election Day",447,8,416,5,2016,
"Essex,Newark W-20 - Election Day",277,6,231,3,2016,
"Essex,Newark W-21 - Election Day",402,7,321,6,2016,
"Essex,Newark W-22 - Election Day",361,7,299,5,2016,
"Essex,Newark W-23 - Election Day",410,8,305,3,2016,
"Essex,Newark W-24 - Election Day",251,5,207,4,2016,
"Essex,Newark W-25 - Election Day",436,10,335,7,2016,
"Essex,Newark W-26 - Election Day",369,9,315,8,2016,
"Essex,Newark W-27 - Election Day",364,11,298,7,2016,
"Essex,Newark W-28 - Election Day",397,8,334,7,2016,
"Essex,Newark W-29 - Election Day",316,11,238,9,2016,
"Essex,Newark W-30 - Election Day",416,12,361,8,2016,
"Essex,Newark W-31 - Election Day",550,10,467,9,2016,
"Essex,Newark W-32 - Election Day",517,24,427,17,2016,
"Essex,Newark W-33 - Election Day",507,11,432,14,2016,
"Essex,Newark W-34 - Election Day",505,13,418,9,2016,
"Essex,Newark W-35 - Election Day",454,42,384,35,2016,
"Essex,Newark W-36 - Election Day",516,10,440,7,2016,
"Essex,Newark W-37 - Election Day",434,13,342,9,2016,
"Essex,Newark W-38 - Election Day",518,4,417,6,2016,
"Essex,Newark W-39 - Election Day",381,5,310,4,2016,
"Essex,Newark W-40 - Election Day",651,9,562,7,2016,
"Essex,Newark W-41 - Election Day",432,8,358,3,2016,
"Essex,Newark W-43 - Election Day",600,26,403,15,2016,
"Essex,Newark W-44 - Election Day",320,40,219,29,2016,
"Essex,Newark W-45 - Election Day",261,32,188,17,2016,
"Essex,Newark W-46 - Election Day",280,28,203,17,2016,
"Essex,Newark W-47 - Election Day",343,11,303,7,2016,
"Essex,Newark W-48 - Election Day",428,9,338,4,2016,
"Essex,Newark W-49 - Election Day",372,9,302,5,2016,
"Essex,Newark W-6 - Election Day",325,15,253,11,2016,
"Essex,Newark W-7 - Election Day",529,15,473,9,2016,
"Essex,Newark W-9 - Election Day",331,28,246,22,2016,
"Essex,North Caldwell 1 - Election Day",499,522,335,570,2016,
"Essex,North Caldwell 2 - Election Day",433,441,269,464,2016,
"Essex,North Caldwell 3 - Election Day",328,356,219,377,2016,
"Essex,North Caldwell 4 - Election Day",252,346,154,346,2016,
"Essex,North Caldwell Mail-In 11th Cong -",144,108,104,137,2016,
"Essex,North Caldwell Prov 11th Cong - P",37,41,25,41,2016,
"Essex,Nutley 1-1 - Election Day",330,484,197,296,2016,
"Essex,Nutley 1-2 - Election Day",236,276,162,181,2016,
"Essex,Nutley 1-3 - Election Day",335,388,215,247,2016,
"Essex,Nutley 1-4 - Election Day",255,286,148,224,2016,
"Essex,Nutley 1-5 - Election Day",249,264,149,172,2016,
"Essex,Nutley 1-6 - Election Day",217,345,133,241,2016,
"Essex,Nutley 1-7 - Election Day",294,335,191,225,2016,
"Essex,Nutley 2-1 - Election Day",199,182,141,137,2016,
"Essex,Nutley 2-2 - Election Day",323,442,212,279,2016,
"Essex,Nutley 2-3 - Election Day",387,471,257,359,2016,
"Essex,Nutley 2-4 - Election Day",325,403,216,278,2016,
"Essex,Nutley 2-5 - Election Day",246,211,163,165,2016,
"Essex,Nutley 2-6 - Election Day",326,328,243,241,2016,
"Essex,Nutley 3-1 - Election Day",222,199,140,125,2016,
"Essex,Nutley 3-2 - Election Day",255,243,166,165,2016,
"Essex,Nutley 3-3 - Election Day",217,279,128,207,2016,
"Essex,Nutley 3-4 - Election Day",320,370,209,240,2016,
"Essex,Nutley 3-5 - Election Day",663,548,449,450,2016,
"Essex,Nutley 3-6 - Election Day",501,356,310,246,2016,
"Essex,Nutley 3-7 - Election Day",213,230,149,140,2016,
"Essex,Nutley Mail-In 11th Cong - Mail-In",417,339,318,327,2016,
"Essex,Nutley Prov 11th Cong - Provision",104,82,73,53,2016,
"Essex,Orange E-1 - Election Day",804,27,669,17,2016,
"Essex,Orange E-2 - Election Day",538,14,364,11,2016,
"Essex,Orange E-4 - Election Day",474,13,347,5,2016,
"Essex,Orange E-5 - Election Day",530,11,453,7,2016,
"Essex,Orange Mail-In 10th Cong - Mail-In",278,25,274,24,2016,
"Essex,Orange N-2 - Election Day",625,24,540,18,2016,
"Essex,Orange N-3 - Election Day",600,24,500,17,2016,
"Essex,Orange N-4 - Election Day",270,25,202,16,2016,
"Essex,Orange N-5 - Election Day",619,10,497,10,2016,
"Essex,Orange Prov 10th Cong - Provisio",393,20,314,22,2016,
"Essex,Orange S-1 - Election Day",556,38,463,26,2016,
"Essex,Orange S-2 - Election Day",701,33,644,17,2016,
"Essex,Orange S-4 - Election Day",438,20,370,19,2016,
"Essex,Orange S-5 - Election Day",485,15,406,18,2016,
"Essex,Orange S-6 - Election Day",324,19,265,19,2016,
"Essex,Orange W-3 - Election Day",393,29,290,25,2016,
"Essex,Orange W-4 - Election Day",502,22,404,16,2016,
"Essex,Orange W-5 - Election Day",425,31,374,19,2016,
"Essex,Orange W-6 - Election Day",343,21,261,16,2016,
"Essex,Overseas Ballot 10th Cong - Over",459,31,403,36,2016,
"Essex,Overseas Ballot 10th Cong 29th L",0,0,0,0,2016,
"Essex,Overseas Ballot 11th Congr - Ove",298,68,242,65,2016,
"Essex,Overseas Ballot 7th Cong - Overse",88,5,77,8,2016,
"Essex,Overseas Ballot 8th Cong - Overse",59,3,54,1,2016,
"Essex,Overseas Ballot 8th Cong 29 LD -",0,0,0,0,2016,
"Essex,Removed Residence - Overseas",0,0,0,0,2016,
"Essex,Roseland 1 - Election Day",236,305,157,315,2016,
"Essex,Roseland 2 - Election Day",323,347,228,322,2016,
"Essex,Roseland 3 - Election Day",196,273,121,251,2016,
